CD_GEOCMU,API,SAPI
4300406,3ª DE,2ª Bda C Mec
4317103,6ª DE,3ª Bda C Mec
4322400,3ª DE,2ª Bda C Mec
4317301,6ª DE,8ª Bda Inf Mtz
4306601,6ª DE,3ª Bda C Mec
4318309,6ª DE,3ª Bda C Mec
4316402,3ª DE,6ª Bda Inf Bld
4301602,6ª DE,3ª Bda C Mec
4303004,6ª DE,8ª Bda Inf Mtz
4314605,6ª DE,8ª Bda Inf Mtz
4318002,3ª DE,1ª Bda C Mec
4304507,6ª DE,8ª Bda Inf Mtz
4310603,3ª DE,1ª Bda C Mec
4306908,6ª DE,8ª Bda Inf Mtz
4318200,6ª DE,8ª Bda Inf Mtz
4315305,3ª DE,2ª Bda C Mec
4302808,6ª DE,3ª Bda C Mec
4109401,5ª DE,15ª Bda Inf Mtz
4127502,5ª DE,5ª Bda C Bld
4315602,6ª DE,8ª Bda Inf Mtz
4311502,6ª DE,3ª Bda C Mec
4302303,6ª DE,8ª Bda Inf Mtz
4209300,5ª DE,14ª Bda Inf Mtz
4301305,6ª DE,8ª Bda Inf Mtz
4318101,3ª DE,2ª Bda C Mec
4104907,5ª DE,5ª Bda C Bld
4317400,3ª DE,1ª Bda C Mec
4302907,3ª DE,6ª Bda Inf Bld
4117305,5ª DE,5ª Bda C Bld
4314506,6ª DE,3ª Bda C Mec
4322202,3ª DE,6ª Bda Inf Bld
4319604,3ª DE,6ª Bda Inf Bld
4120606,5ª DE,15ª Bda Inf Mtz
4311007,6ª DE,8ª Bda Inf Mtz
4322509,6ª DE,8ª Bda Inf Mtz
4318804,6ª DE,8ª Bda Inf Mtz
4315701,6ª DE,8ª Bda Inf Mtz
4113205,5ª DE,5ª Bda C Bld
4104808,5ª DE,15ª Bda Inf Mtz
4312500,6ª DE,8ª Bda Inf Mtz
4119905,5ª DE,5ª Bda C Bld
4109500,5ª DE,AD/5
4119301,5ª DE,15ª Bda Inf Mtz
4311205,3ª DE,6ª Bda Inf Bld
4216503,5ª DE,14ª Bda Inf Mtz
4307104,6ª DE,8ª Bda Inf Mtz
4316907,3ª DE,6ª Bda Inf Bld
4303509,6ª DE,8ª Bda Inf Mtz
4317707,3ª DE,1ª Bda C Mec
4203600,5ª DE,14ª Bda Inf Mtz
4311718,3ª DE,1ª Bda C Mec
4305108,6ª DE,8ª Bda Inf Mtz
4314407,6ª DE,8ª Bda Inf Mtz
4302501,3ª DE,1ª Bda C Mec
4119608,5ª DE,15ª Bda Inf Mtz
4300034,6ª DE,3ª Bda C Mec
4113700,5ª DE,15ª Bda Inf Mtz
4121703,5ª DE,5ª Bda C Bld
4106456,5ª DE,15ª Bda Inf Mtz
4117602,5ª DE,15ª Bda Inf Mtz
4323002,6ª DE,8ª Bda Inf Mtz
4104428,5ª DE,15ª Bda Inf Mtz
4104402,5ª DE,5ª Bda C Bld
4317004,6ª DE,3ª Bda C Mec
4106803,5ª DE,5ª Bda C Bld
4117701,5ª DE,5ª Bda C Bld
4314175,6ª DE,3ª Bda C Mec
4313706,3ª DE,AD/3
4311759,3ª DE,2ª Bda C Mec
4112009,5ª DE,5ª Bda C Bld
4126306,5ª DE,5ª Bda C Bld
4306502,6ª DE,8ª Bda Inf Mtz
4210100,5ª DE,5ª Bda C Bld
4306106,3ª DE,AD/3
4119400,5ª DE,5ª Bda C Bld
4127106,5ª DE,5ª Bda C Bld
4203253,5ª DE,14ª Bda Inf Mtz
4125605,5ª DE,5ª Bda C Bld
4101606,5ª DE,5ª Bda C Bld
4100202,5ª DE,AD/5
4105201,5ª DE,AD/5
4109609,5ª DE,AD/5
4200408,5ª DE,14ª Bda Inf Mtz
4318903,3ª DE,1ª Bda C Mec
4208104,5ª DE,5ª Bda C Bld
4311304,6ª DE,8ª Bda Inf Mtz
4311155,3ª DE,AD/3
4319158,3ª DE,1ª Bda C Mec
4320800,3ª DE,6ª Bda Inf Bld
4303608,6ª DE,8ª Bda Inf Mtz
4104204,5ª DE,AD/5
4312617,6ª DE,8ª Bda Inf Mtz
4102901,5ª DE,5ª Bda C Bld
4109302,5ª DE,15ª Bda Inf Mtz
4319802,3ª DE,6ª Bda Inf Bld
4128104,5ª DE,15ª Bda Inf Mtz
4117057,5ª DE,15ª Bda Inf Mtz
4318622,6ª DE,8ª Bda Inf Mtz
4127700,5ª DE,15ª Bda Inf Mtz
4318507,6ª DE,8ª Bda Inf Mtz
4118402,5ª DE,15ª Bda Inf Mtz
4105300,5ª DE,15ª Bda Inf Mtz
4215505,5ª DE,14ª Bda Inf Mtz
4310553,3ª DE,1ª Bda C Mec
4203808,5ª DE,5ª Bda C Bld
4209102,5ª DE,14ª Bda Inf Mtz
4301875,3ª DE,2ª Bda C Mec
4317608,6ª DE,8ª Bda Inf Mtz
