CD_GEOCMU,API,SAPI
4300406,Área Oeste do RS,Subárea de Uruguaiana
4317103,Área Leste do RS,Subárea de Bagé
4322400,Área Oeste do RS,Subárea de Uruguaiana
4317301,Área Leste do RS,Subárea de Pelotas
4306601,Área Leste do RS,Subárea de Bagé
4318309,Área Leste do RS,Subárea de Bagé
4316402,Área Oeste do RS,Subárea de Santa Maria
4301602,Área Leste do RS,Subárea de Bagé
4303004,Área Leste do RS,Subárea de Pelotas
4314605,Área Leste do RS,Subárea de Pelotas
4318002,Área Oeste do RS,Subárea de Santiago
4304507,Área Leste do RS,Subárea de Pelotas
4310603,Área Oeste do RS,Subárea de Santiago
4306908,Área Leste do RS,Subárea de Pelotas
4318200,Área Leste do RS,Subárea de Pelotas
4315305,Área Oeste do RS,Subárea de Uruguaiana
4302808,Área Leste do RS,Subárea de Bagé
4109401,Área de SC e PR,Subárea de Cascavel
4127502,Área de SC e PR,Subárea de Ponta Grossa
4315602,Área Leste do RS,Subárea de Pelotas
4311502,Área Leste do RS,Subárea de Bagé
4302303,Área Leste do RS,Subárea de Pelotas
4209300,Área de SC e PR,Subárea de Florianópolis
4301305,Área Leste do RS,Subárea de Pelotas
4318101,Área Oeste do RS,Subárea de Uruguaiana
4104907,Área de SC e PR,Subárea de Ponta Grossa
4317400,Área Oeste do RS,Subárea de Santiago
4302907,Área Oeste do RS,Subárea de Santa Maria
4117305,Área de SC e PR,Subárea de Ponta Grossa
4314506,Área Leste do RS,Subárea de Bagé
4322202,Área Oeste do RS,Subárea de Santa Maria
4319604,Área Oeste do RS,Subárea de Santa Maria
4120606,Área de SC e PR,Subárea de Cascavel
4311007,Área Leste do RS,Subárea de Pelotas
4322509,Área Leste do RS,Subárea de Pelotas
4318804,Área Leste do RS,Subárea de Pelotas
4315701,Área Leste do RS,Subárea de Pelotas
4113205,Área de SC e PR,Subárea de Ponta Grossa
4104808,Área de SC e PR,Subárea de Cascavel
4312500,Área Leste do RS,Subárea de Pelotas
4119905,Área de SC e PR,Subárea de Ponta Grossa
4109500,Área de SC e PR,Subárea de Curitiba
4119301,Área de SC e PR,Subárea de Cascavel
4311205,Área Oeste do RS,Subárea de Santa Maria
4216503,Área de SC e PR,Subárea de Florianópolis
4307104,Área Leste do RS,Subárea de Pelotas
4316907,Área Oeste do RS,Subárea de Santa Maria
4303509,Área Leste do RS,Subárea de Pelotas
4317707,Área Oeste do RS,Subárea de Santiago
4203600,Área de SC e PR,Subárea de Florianópolis
4311718,Área Oeste do RS,Subárea de Santiago
4305108,Área Leste do RS,Subárea de Pelotas
4314407,Área Leste do RS,Subárea de Pelotas
4302501,Área Oeste do RS,Subárea de Santiago
4119608,Área de SC e PR,Subárea de Cascavel
4300034,Área Leste do RS,Subárea de Bagé
4113700,Área de SC e PR,Subárea de Cascavel
4121703,Área de SC e PR,Subárea de Ponta Grossa
4106456,Área de SC e PR,Subárea de Cascavel
4117602,Área de SC e PR,Subárea de Cascavel
