"date","country","state","city","newDeaths","deaths","newCases","totalCases","deathsMS","totalCasesMS","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","recovered","suspects","tests","tests_per_100k_inhabitants"
"2020-02-25","Brazil","TOTAL","TOTAL","0","0","1","1","0","0","0.00000","0.00048","0.00000","","","",""
"2020-02-26","Brazil","TOTAL","TOTAL","0","0","0","1","0","1","0.00000","0.00048","0.00000","","","",""
"2020-02-27","Brazil","TOTAL","TOTAL","0","0","0","1","0","1","0.00000","0.00048","0.00000","","","",""
"2020-02-28","Brazil","TOTAL","TOTAL","0","0","1","2","0","1","0.00000","0.00095","0.00000","","","",""
"2020-02-29","Brazil","TOTAL","TOTAL","0","0","0","2","0","2","0.00000","0.00095","0.00000","","","",""
"2020-03-01","Brazil","TOTAL","TOTAL","0","0","0","2","0","2","0.00000","0.00095","0.00000","","","",""
"2020-03-02","Brazil","TOTAL","TOTAL","0","0","0","2","0","2","0.00000","0.00095","0.00000","","","",""
"2020-03-03","Brazil","TOTAL","TOTAL","0","0","0","2","0","2","0.00000","0.00095","0.00000","","","",""
"2020-03-04","Brazil","TOTAL","TOTAL","0","0","1","3","0","3","0.00000","0.00143","0.00000","","","",""
"2020-03-05","Brazil","TOTAL","TOTAL","0","0","4","7","0","7","0.00000","0.00333","0.00000","","","",""
"2020-03-06","Brazil","TOTAL","TOTAL","0","0","7","14","0","13","0.00000","0.00666","0.00000","","","",""
"2020-03-07","Brazil","TOTAL","TOTAL","0","0","5","19","0","19","0.00000","0.00904","0.00000","","","",""
"2020-03-08","Brazil","TOTAL","TOTAL","0","0","6","25","0","25","0.00000","0.01190","0.00000","","","",""
"2020-03-09","Brazil","TOTAL","TOTAL","0","0","0","25","0","25","0.00000","0.01190","0.00000","","","",""
"2020-03-10","Brazil","TOTAL","TOTAL","0","0","9","34","0","34","0.00000","0.01618","0.00000","","","",""
"2020-03-11","Brazil","TOTAL","TOTAL","0","0","19","53","0","52","0.00000","0.02522","0.00000","","","",""
"2020-03-12","Brazil","TOTAL","TOTAL","0","0","36","89","0","77","0.00000","0.04235","0.00000","","","",""
