"nome","date","newDeaths","deaths","newCases","totalCases","recovered","totalRecovered","populacao","CENTROID_X","CENTROID_Y","deaths_by_totalCases","totalCases_per_100k_inhabitants","deaths_per_100k_inhabitants","meanCases","tendencia_casos","last14AvgCases","meanDeaths","tendencia_obitos","meanRecovered","nrDiasDobraCasos","nrDiasDobraMortes"
"5ª DE","2020-06-14",16,521,411,22739,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.022912177316504682,0,0,411,"Aproximadamente o mesmo","",16,"Aproximadamente o mesmo",NaN,0,0
"3ª DE","2020-06-14",3,152,12,7256,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.020948180815876516,0,0,12,"Aproximadamente o mesmo","",3,"Aproximadamente o mesmo",NaN,0,0
"6ª DE","2020-06-14",3,198,26,7405,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.026738690074274138,0,0,26,"Aproximadamente o mesmo","",3,"Aproximadamente o mesmo",NaN,0,0
"5ª DE","2020-06-15",13,533,698,23453,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.02272630367117213,0,0,698,"Aproximadamente o mesmo","",13,"Aproximadamente o mesmo",NaN,0,0
"3ª DE","2020-06-15",2,154,371,7625,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.02019672131147541,0,0,371,"Aproximadamente o mesmo","",2,"Aproximadamente o mesmo",NaN,0,0
"6ª DE","2020-06-15",8,206,409,7813,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.026366312555996415,0,0,409,"Aproximadamente o mesmo","",8,"Aproximadamente o mesmo",NaN,0,0
"5ª DE","2020-06-16",42,576,1283,24733,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.02328872356770307,0,0,1283,"Aproximadamente o mesmo","",42,"Aproximadamente o mesmo",NaN,0,0
"3ª DE","2020-06-16",7,161,348,7969,NaN,NaN,Infinity,-54.6053580925,-28.9089720818,0.02020328773999247,0,0,348,"Aproximadamente o mesmo","",7,"Aproximadamente o mesmo",NaN,0,0
"6ª DE","2020-06-16",7,213,690,8502,NaN,NaN,Infinity,-52.99074199945,-30.653584850999998,0.025052928722653495,0,0,690,"Aproximadamente o mesmo","",7,"Aproximadamente o mesmo",NaN,0,0
"5ª DE","2020-06-17",26,602,1124,25868,NaN,NaN,Infinity,-51.32162136865,-25.935863894249998,0.02327199628885109,0,0,1124,"Aproximadamente o mesmo","",26,"Aproximadamente o mesmo",NaN,0,0
