"semana","dias_semana","nome","newDeaths","newCases","recovered","CENTROID_X","CENTROID_Y","deaths","totalCases","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","totalRecovered","nrDiasDobraCasos","nrDiasDobraMortes","tendencia_casos","last14AvgCases","tendencia_obitos"
25,7,"5ª DE",160,8119,NaN,"-51.32162136865","-25.935863894249998",665,30512,0,0,0.02179470372312533,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"3ª DE",33,1629,NaN,"-54.6053580925","-28.9089720818",182,8862,0,0,0.020537124802527645,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"6ª DE",53,2902,NaN,"-52.99074199945","-30.653584850999998",248,10276,0,0,0.02413390424289607,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
26,7,"5ª DE",200,12461,NaN,"-51.32162136865","-25.935863894249998",866,42975,0,0,0.020151250727166958,NaN,"0","0","Crescendo 3","411|698|1283|1124|1375|1595|1160|1265|1302|1405|1629|1698|1731|1780","Crescendo 2"
26,7,"3ª DE",41,1798,NaN,"-54.6053580925","-28.9089720818",223,10665,0,0,0.020909517112048758,NaN,"0","0","Crescendo 3","12|371|348|257|286|207|233|239|211|204|205|220|236|257","Crescendo 2"
26,7,"6ª DE",84,4056,NaN,"-52.99074199945","-30.653584850999998",331,14335,0,0,0.023090338332752005,NaN,"0","0","Crescendo 3","26|409|690|415|401|550|415|433|401|424|490|527|553|579","Crescendo 3"
27,7,"5ª DE",267,18650,NaN,"-51.32162136865","-25.935863894249998",1130,61625,0,0,0.018336713995943204,NaN,"14","19","Crescendo 2","1265|1302|1405|1629|1698|1731|1780|1826|1868|1984|1922|2132|2373|2664","Crescendo 2"
27,7,"3ª DE",28,2078,NaN,"-54.6053580925","-28.9089720818",251,12746,0,0,0.019692452534128355,NaN,"0","0","Crescendo 3","239|211|204|205|220|236|257|260|261|271|287|271|274|297","Aproximadamente o mesmo"
27,7,"6ª DE",133,4535,NaN,"-52.99074199945","-30.653584850999998",464,18873,0,0,0.024585386531023153,NaN,"16","17","Crescendo 3","433|401|424|490|527|553|579|581|588|597|593|604|619|648","Crescendo 2"
28,7,"5ª DE",352,20075,NaN,"-51.32162136865","-25.935863894249998",1484,81697,0,0,0.018164681689658128,NaN,"16","19","Crescendo 2","1826|1868|1984|1922|2132|2373|2664|2725|2853|2885|2969|2958|2991|2868","Crescendo 2"
28,7,"3ª DE",38,1822,NaN,"-54.6053580925","-28.9089720818",289,14574,0,0,0.019829833950871414,NaN,"27","0","Aproximadamente o mesmo","260|261|271|287|271|274|297|301|293|292|298|290|276|260","Diminuindo"
28,7,"6ª DE",190,5279,NaN,"-52.99074199945","-30.653584850999998",654,24146,0,0,0.02708523150832436,NaN,"18","15","Crescendo 3","581|588|597|593|604|619|648|657|670|688|756|746|742|754","Crescendo 2"
29,5,"5ª DE",233,12213,NaN,"-51.32162136865","-25.935863894249998",1717,93898,0,0,0.01828579948454706,NaN,"17","20","Crescendo 3","2373|2664|2725|2853|2885|2969|2958|2991|2868|2986|2941|3074|2939|2729","Crescendo 3"
29,5,"3ª DE",32,1620,NaN,"-54.6053580925","-28.9089720818",321,16184,0,0,0.019834404349975285,NaN,"30","31","Crescendo 3","274|297|301|293|292|298|290|276|260|282|294|286|292|315","Crescendo 3"
29,5,"6ª DE",166,5008,NaN,"-52.99074199945","-30.653584850999998",820,29160,0,0,0.028120713305898493,NaN,"18","15","Crescendo 2","619|648|657|670|688|756|746|742|754|759|742|740|664|957","Crescendo 2"
