"nome","date","newDeaths","deaths","newCases","totalCases","recovered","totalRecovered","populacao","CENTROID_X","CENTROID_Y","deaths_by_totalCases","totalCases_per_100k_inhabitants","deaths_per_100k_inhabitants","meanCases","tendencia_casos","last14AvgCases","meanDeaths","tendencia_obitos","meanRecovered","nrDiasDobraCasos","nrDiasDobraMortes"
"5ª Bda C Bld","2020-06-14",1,40,52,1473,NaN,NaN,2297.6146650069513,-50.363856212,-24.88686601825,0.027155465037338764,0.6410996684666197,0.017409359632494764,52,"Aproximadamente o mesmo","",1,"Aproximadamente o mesmo",NaN,0,0
"14ª Bda Inf Mtz","2020-06-14",2,187,63,12771,NaN,NaN,Infinity,-51.09759413615,-27.65545385525,0.014642549526270457,0,0,63,"Aproximadamente o mesmo","",2,"Aproximadamente o mesmo",NaN,0,0
"AD/5","2020-06-14",4,133,118,3238,NaN,NaN,819.620563394822,-48.940353771,-25.2165291457,0.04107473749227918,3.950608543285428,0.16227020885020443,118,"Aproximadamente o mesmo","",4,"Aproximadamente o mesmo",NaN,0,0
"6ª Bda Inf Bld","2020-06-14",1,61,6,3548,NaN,NaN,Infinity,-53.664214672499995,-29.6236634728,0.017192784667418262,0,0,6,"Aproximadamente o mesmo","",1,"Aproximadamente o mesmo",NaN,0,0
"AD/3","2020-06-14",2,67,5,3145,NaN,NaN,Infinity,-52.9869266145,-28.061558283300002,0.021303656597774244,0,0,5,"Aproximadamente o mesmo","",2,"Aproximadamente o mesmo",NaN,0,0
"1ª Bda C Mec","2020-06-14",0,20,1,469,NaN,NaN,Infinity,-55.1459490654,-28.37737602875,0.042643923240938165,0,0,1,"Aproximadamente o mesmo","",0,"Aproximadamente o mesmo",NaN,0,0
"2ª Bda C Mec","2020-06-14",0,4,0,94,NaN,NaN,9.227015960752357,-56.216524268499995,-29.86198892635,0.0425531914893617,10.187475604229407,0.43350960017997475,0,"Sem ou poucos casos","",0,"Sem ou poucos casos",NaN,0,0
"15ª Bda Inf Mtz","2020-06-14",9,161,178,5257,NaN,NaN,Infinity,-52.70053074965,-24.55801220175,0.03062583222370173,0,0,178,"Aproximadamente o mesmo","",9,"Aproximadamente o mesmo",NaN,0,0
"8ª Bda Inf Mtz","2020-06-14",3,189,24,7097,NaN,NaN,Infinity,-51.71784407045,-30.653584850999998,0.02663097083274623,0,0,24,"Aproximadamente o mesmo","",3,"Aproximadamente o mesmo",NaN,0,0
"3ª Bda C Mec","2020-06-14",0,9,2,308,NaN,NaN,39.667393753679335,-54.61908440495,-30.997590611249997,0.02922077922077922,7.76456355848767,0.22688659748827608,2,"Aproximadamente o mesmo","",0,"Sem ou poucos casos",NaN,0,0
