"semana","dias_semana","nome","newDeaths","newCases","recovered","CENTROID_X","CENTROID_Y","deaths","totalCases","deaths_per_100k_inhabitants","totalCases_per_100k_inhabitants","deaths_by_totalCases","totalRecovered","nrDiasDobraCasos","nrDiasDobraMortes","tendencia_casos","last14AvgCases","tendencia_obitos"
25,7,"5ª Bda C Bld",28,594,NaN,"-50.363856212","-24.88686601825",66,2025,0,0,0.03259259259259259,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"14ª Bda Inf Mtz",40,3617,NaN,"-51.09759413615","-27.65545385525",226,16373,0,0,0.013803212606119832,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"AD/5",39,1315,NaN,"-48.940353771","-25.2165291457",168,4436,0.18324876508981233,4.83864001153814,0.03787195671776375,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"6ª Bda Inf Bld",11,506,NaN,"-53.664214672499995","-29.6236634728",71,4037,0,0,0.01758731731483775,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"AD/3",14,885,NaN,"-52.9869266145","-28.061558283300002",79,4023,0,0,0.01963708675118071,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"1ª Bda C Mec",6,217,NaN,"-55.1459490654","-28.37737602875",26,687,0,0,0.03784570596797671,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"2ª Bda C Mec",2,21,NaN,"-56.216524268499995","-29.86198892635",6,115,0.7108868706602217,13.625331687654251,0.05217391304347826,NaN,"0","0","Aproximadamente o mesmo","","Sem ou poucos casos"
25,7,"15ª Bda Inf Mtz",53,2593,NaN,"-52.70053074965","-24.55801220175",205,7678,0,0,0.026699661370148477,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"8ª Bda Inf Mtz",50,2734,NaN,"-51.71784407045","-30.653584850999998",236,9802,0,0,0.02407671903693124,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
25,7,"3ª Bda C Mec",3,168,NaN,"-54.61908440495","-30.997590611249997",12,474,0.3206832174810857,12.666987090502884,0.02531645569620253,NaN,"0","0","Aproximadamente o mesmo","","Aproximadamente o mesmo"
26,7,"5ª Bda C Bld",10,680,NaN,"-50.363856212","-24.88686601825",77,2705,0,0,0.028465804066543438,NaN,"0","0","Crescendo 2","52|32|127|106|73|69|85|90|99|92|91|100|101|97","Aproximadamente o mesmo"
26,7,"14ª Bda Inf Mtz",66,6383,NaN,"-51.09759413615","-27.65545385525",293,22758,0,0,0.012874593549521047,NaN,"0","0","Crescendo 3","63|540|439|587|539|703|517|573|543|659|802|866|903|912","Crescendo 3"
26,7,"AD/5",64,2137,NaN,"-48.940353771","-25.2165291457",231,6573,0.23266050191979562,6.620248827354184,0.03514376996805112,NaN,"13","0","Crescendo 3","118|79|250|93|268|320|188|210|235|239|273|276|265|305","Crescendo 2"
26,7,"6ª Bda Inf Bld",10,377,NaN,"-53.664214672499995","-29.6236634728",81,4413,0,0,0.018354860639021073,NaN,"0","0","Crescendo 3","6|142|130|83|83|40|72|73|58|51|47|45|50|54","Aproximadamente o mesmo"
26,7,"AD/3",17,1042,NaN,"-52.9869266145","-28.061558283300002",96,5068,0,0,0.018942383583267563,NaN,"0","0","Crescendo 3","5|186|174|146|163|118|126|131|118|117|120|129|134|149","Aproximadamente o mesmo"
26,7,"1ª Bda C Mec",11,346,NaN,"-55.1459490654","-28.37737602875",37,1036,0,0,0.03571428571428571,NaN,"12","0","Crescendo 3","1|41|41|28|35|39|31|32|32|33|34|42|48|49","Crescendo 3"
26,7,"2ª Bda C Mec",3,33,NaN,"-56.216524268499995","-29.86198892635",9,148,1.1170285934851933,18.36891464842318,0.060810810810810814,NaN,"0","13","Crescendo 3","0|2|3|0|5|10|3|4|3|4|4|5|4|5","Sem ou poucos casos"
26,7,"15ª Bda Inf Mtz",60,3261,NaN,"-52.70053074965","-24.55801220175",265,10939,0,0,0.024225249108693666,NaN,"12","0","Crescendo 3","178|47|467|338|495|503|370|392|425|415|463|457|463|466","Aproximadamente o mesmo"
26,7,"8ª Bda Inf Mtz",82,3891,NaN,"-51.71784407045","-30.653584850999998",317,13697,0,0,0.0231437541067387,NaN,"0","0","Crescendo 3","24|393|656|385|372|530|391|407|377|399|463|502|528|556","Crescendo 3"
26,7,"3ª Bda C Mec",2,165,NaN,"-54.61908440495","-30.997590611249997",14,638,0.24981200586770932,11.384289981685612,0.0219435736677116,NaN,"13","0","Crescendo 3","2|16|34|30|29|20|24|26|25|25|27|25|25|24","Diminuindo"
27,7,"5ª Bda C Bld",21,931,NaN,"-50.363856212","-24.88686601825",97,3640,0,0,0.026648351648351647,NaN,"16","19","Crescendo 3","90|99|92|91|100|101|97|94|85|95|96|108|121|133","Diminuindo"
27,7,"14ª Bda Inf Mtz",74,7868,NaN,"-51.09759413615","-27.65545385525",366,30624,0,0,0.01195141065830721,NaN,"16","0","Crescendo 2","573|543|659|802|866|903|912|923|972|974|876|914|1011|1124","Crescendo 2"
