city,ibgeID
São Paulo/SP,3550308
Barra Mansa/RJ,3300407
Feira de Santana/BA,2910800
Rio de Janeiro/RJ,3304557
Brasília/DF,5300108
Santana de Parnaíba/SP,3547304
Divinópolis/MG,3122306
Maceió/AL,2704302
Campo Bom/RS,4303905
Porto Alegre/RS,4314902
Caxias do Sul/RS,4305108
Cianorte/PR,4105508
Curitiba/PR,4106902
Ferraz de Vasconcelos/SP,3515707
Florianópolis/SC,4205407
Goiânia/GO,5208707
Ipatinga/MG,3131307
Natal/RN,2408102
Niterói/RJ,3303302
Recife/PE,2611606
Rio Verde/GO,5218805
Joinville/SC,4209102
Manaus/AM,1302603
Salvador/BA,2927408
Aracaju/SE,2800308
Campo Grande/MS,5002704
Carapicuíba/SP,3510609
Juiz de Fora/MG,3136702
Patrocínio/MG,3148103
Rancho Queimado/SC,4214300
Braço do Norte/SC,4202800
Anápolis/GO,5201108
Aquiraz/CE,2301000
Belo Horizonte/MG,3106200
Fortaleza/CE,2304400
Mauá/SP,3529401
Porto Seguro/BA,2925303
Santo André/SP,3547809
São Bernardo do Campo/SP,3548708
São Caetano do Sul/SP,3548807
Belo Jardim/PE,2601706
Campo Largo/PR,4104204
Coronel Fabriciano/MG,3119401
Guarulhos/SP,3518800
Jaboatão dos Guararapes/PE,2607901
Londrina/PR,4113700
Nova Lima/MG,3144805
Pinhais/PR,4119152
Prado/BA,2925501
Rio Branco/AC,1200401
Sete Lagoas/MG,3167202
Uberlândia/MG,3170206
Aparecida de Goiânia/GO,5201405
Balneário Camboriú/SC,4202008
Barueri/SP,3505708
Belém/PA,1501402
Campinas/SP,3509502
Cotia/SP,3513009
Foz do Iguaçu/PR,4108304
Guapimirim/RJ,3301850
Jaguariúna/SP,3524709
Jataí/GO,5211909
João Pessoa/PB,2507507
Maringá/PR,4115200
Osasco/SP,3534401
Palmas/TO,1721000
Propriá/SE,2805703
Sapiranga/RS,4319901
Sobral/CE,2312908
São José do Rio Preto/SP,3549805
São José dos Campos/SP,3549904
Tubarão/SC,4218707
Alvorada/RS,4300604
Bagé/RS,4301602
Erechim/RS,4307005
Farroupilha/RS,4307906
Itabuna/BA,2914802
Lauro de Freitas/BA,2919207
Linhares/ES,3203205
Miguel Pereira/RJ,3302908
Sidrolândia/MS,5007901
Suzano/SP,3552502
São José/SC,4216602
Taquara/RS,4321204
Taubaté/SP,3554102
Teresina/PI,2211001
Vargem Grande Paulista/SP,3556453
Vila Velha/ES,3205200
Vitória/ES,3205309
Bento Gonçalves/RS,4302105
Cachoeiro de Itapemirim/ES,3201209
Camaçari/BA,2905701
Cariacica/ES,3201308
Chapecó/SC,4204202
Criciúma/SC,4204608
Cuiabá/MT,5103403
Fortim/CE,2304459
Guaíra/PR,4108809
Hortolândia/SP,3519071
Imbituba/SC,4207304
Ivoti/RS,4310801
Jaraguá do Sul/SC,4208906
Ji-Paraná/RO,1100122
Juazeiro do Norte/CE,2307304
Macapá/AP,1600303
Mariana/MG,3140001
Mogi das Cruzes/SP,3530607
Navegantes/SC,4211306
Parnamirim/RN,2403251
Pomerode/SC,4213203
Poços de Caldas/MG,3151800
Sant'Ana do Livramento/RS,4317103
São Luís/MA,2111300
Uberaba/MG,3170107
Boa Vista/RR,1400100
Canoas/RS,4304606
Carlos Barbosa/RS,4304804
Charqueadas/RS,4305355
Dois Irmãos/RS,4306403
Eldorado do Sul/RS,4306767
Estrela/RS,4307807
Gravatal/SC,4206207
Itajaí/SC,4208203
Jaguaruna/SC,4208807
Lajeado/RS,4311403
Mossoró/RN,2408003
Nossa Senhora da Glória/SE,2804508
Pato Branco/PR,4118501
Petrópolis/RJ,3303906
Ponta Grossa/PR,4119905
Ponta Porã/MS,5006606
Porto Velho/RO,1100205
Serafina Corrêa/RS,4320404
São Leopoldo/RS,4318705
Torres/RS,4321501
Umuarama/PR,4128104
Barreiras/BA,2903201
Blumenau/SC,4202404
Catalão/GO,5205109
Colombo/PR,4105805
Conceição do Jacuípe/BA,2908507
Estância Velha/RS,4307609
Lages/SC,4209300
Olinda/PE,2609600
Parintins/AM,1303403
Santa Maria/RS,4316907
Santo Antônio da Patrulha/RS,4317608
Betim/MG,3106705
Bom Despacho/MG,3107406
Brumado/BA,2904605
Campos Altos/MG,3111507
Capão da Canoa/RS,4304630
Caruaru/PE,2604106
Cascavel/PR,4104808
Contagem/MG,3118601
Cruzeiro do Sul/RS,4306205
Gaspar/SC,4205902
Igaracy/PB,2502607
Içara/SC,4207007
Jequié/BA,2918001
Juazeiro/BA,2918407
Lagoa da Prata/MG,3137205
Marabá/PA,1504208
Osório/RS,4313508
Petrolina/PE,2611101
Porto Belo/SC,4213500
Rio Grande/RS,4315602
Santa Teresa/ES,3204609
Santiago/RS,4317400
Serra/ES,3205002
São Gonçalo/RJ,3304904
Timóteo/MG,3168705
Viamão/RS,4323002
Várzea Grande/MT,5108402
Anta Gorda/RS,4300703
Bonfim/RR,1400159
Camaquã/RS,4303509
Campos dos Goytacazes/RJ,3301009
Conde/BA,2908606
Duque de Caxias/RJ,3301702
Garibaldi/RS,4308607
Laguna/SC,4209409
Mauriti/CE,2308104
Nova Monte Verde/MT,5108956
Paranavaí/PR,4118402
Paraí/RS,4314001
Teixeira de Freitas/BA,2931350
Telêmaco Borba/PR,4127106
Tijucas/SC,4218004
Valparaíso de Goiás/GO,5221858
Volta Redonda/RJ,3306305
Ananindeua/PA,1500800
Balneário Arroio do Silva/SC,4201950
Caieiras/SP,3509007
